iter	Passed	Remaining
443	1275	1597
444	1277	1593
445	1279	1589
446	1282	1586
447	1283	1582
448	1286	1579
449	1292	1579
450	1294	1576
451	1296	1572
452	1298	1568
453	1302	1565
454	1304	1562
455	1306	1558
456	1308	1554
457	1310	1551
458	1313	1548
459	1317	1546
460	1320	1543
461	1322	1539
462	1324	1536
463	1327	1533
464	1331	1531
465	1333	1528
466	1336	1525
467	1338	1521
468	1340	1517
469	1342	1513
470	1346	1511
471	1348	1508
472	1350	1504
473	1352	1500
474	1354	1496
475	1355	1492
476	1359	1490
477	1363	1488
478	1365	1484
479	1367	1481
480	1369	1477
481	1371	1473
482	1376	1472
483	1379	1470
484	1381	1467
485	1383	1463
486	1385	1459
487	1388	1457
488	1391	1453
489	1393	1450
490	1395	1446
491	1398	1444
492	1400	1440
493	1403	1437
494	1405	1433
495	1407	1430
496	1409	1426
497	1411	1422
498	1412	1418
499	1414	1414
500	1416	1410
501	1420	1408
502	1421	1404
503	1423	1401
504	1425	1397
505	1427	1393
506	1429	1389
507	1430	1385
508	1433	1382
509	1435	1379
510	1438	1376
511	1440	1372
512	1441	1368
513	1443	1365
514	1446	1361
515	1448	1358
516	1451	1355
517	1452	1351
518	1454	1347
519	1456	1344
520	1457	1340
521	1459	1336
522	1463	1334
523	1465	1330
524	1467	1327
525	1469	1324
526	1471	1320
527	1472	1316
528	1475	1313
529	1477	1310
530	1479	1306
531	1481	1303
532	1483	1299
533	1484	1295
534	1486	1292
535	1489	1289
536	1491	1285
537	1493	1282
538	1495	1279
539	1497	1275
540	1499	1272
541	1501	1268
542	1503	1265
543	1505	1261
544	1507	1258
545	1509	1255
546	1511	1251
547	1513	1248
548	1515	1245
549	1518	1242
550	1520	1239
551	1523	1236
552	1525	1232
553	1527	1229
554	1529	1226
555	1530	1222
556	1532	1219
557	1535	1216
558	1537	1213
559	1539	1209
560	1541	1206
561	1542	1202
562	1545	1199
563	1547	1195
564	1549	1192
565	1560	1196
566	1562	1193
567	1564	1189
568	1566	1186
569	1568	1183
570	1571	1180
571	1573	1177
572	1575	1174
573	1577	1170
574	1579	1167
575	1583	1165
576	1587	1163
577	1589	1160
578	1591	1157
579	1593	1153
580	1597	1151
581	1599	1148
582	1601	1145
583	1603	1142
584	1605	1139
585	1607	1135
586	1610	1132
587	1612	1130
588	1614	1126
589	1616	1123
590	1618	1119
591	1619	1116
592	1621	1112
593	1623	1109
594	1626	1107
595	1628	1104
596	1630	1100
597	1632	1097
598	1633	1093
599	1635	1090
600	1637	1086
601	1639	1084
602	1641	1080
603	1644	1077
604	1646	1075
605	1648	1071
606	1650	1068
607	1652	1065
608	1657	1064
609	1659	1060
610	1662	1058
611	1664	1055
612	1666	1052
613	1671	1050
614	1673	1047
615	1675	1044
616	1677	1041
617	1679	1038
618	1681	1034
619	1684	1032
620	1687	1029
621	1689	1026
622	1692	1023
623	1693	1020
624	1695	1017
625	1698	1014
626	1701	1012
627	1703	1009
628	1705	1006
629	1707	1002
630	1709	999
631	1711	996
632	1714	994
633	1716	991
634	1718	987
635	1720	984
636	1721	981
637	1723	977
638	1725	974
639	1728	972
640	1731	969
641	1735	967
642	1737	964
643	1739	961
644	1742	959
645	1745	956
646	1748	953
647	1750	950
648	1752	947
649	1754	944
650	1755	941
651	1759	939
652	1762	936
653	1764	933
654	1765	929
655	1767	926
656	1769	923
657	1772	921
658	1774	918
659	1776	915
660	1779	912
661	1780	909
662	1783	906
663	1784	903
664	1787	900
665	1789	897
666	1791	894
667	1793	891
668	1795	888
669	1797	885
670	1799	882
671	1802	879
672	1805	877
673	1808	874
674	1810	871
675	1812	868
676	1813	865
677	1817	862
678	1821	860
679	1823	858
680	1825	855
681	1828	852
682	1830	849
683	1833	846
684	1835	844
685	1838	841
686	1840	838
687	1842	835
688	1846	833
689	1848	830
690	1850	827
691	1854	825
692	1856	822
693	1858	819
694	1861	816
695	1863	814
696	1865	811
697	1868	808
698	1871	806
699	1874	803
700	1877	800
701	1880	798
702	1882	795
703	1884	792
704	1888	790
705	1891	787
706	1895	785
707	1898	782
708	1900	780
709	1903	777
710	1908	775
711	1912	773
712	1914	770
713	1916	767
714	1919	765
715	1923	762
716	1928	760
717	1930	758
718	1932	755
719	1936	753
720	1939	750
721	1941	747
722	1943	744
723	1946	742
724	1952	740
725	1954	737
726	1957	734
727	1959	731
728	1961	729
729	1965	727
730	1967	724
731	1971	721
732	1973	718
733	1976	716
734	1979	713
735	1983	711
736	1987	709
737	1990	706
738	1993	703
739	1995	701
740	1997	698
741	2002	696
742	2005	693
743	2009	691
744	2012	688
745	2014	685
746	2016	682
747	2019	680
748	2021	677
749	2024	674
750	2028	672
751	2031	670
752	2034	667
753	2038	665
754	2040	662
755	2042	659
756	2044	656
757	2048	653
758	2051	651
759	2054	648
760	2057	646
761	2059	643
762	2062	640
763	2065	637
764	2067	635
765	2069	632
766	2072	629
767	2075	627
768	2078	624
769	2081	621
770	2083	618
771	2086	616
772	2088	613
773	2090	610
774	2096	608
775	2099	606
776	2101	603
777	2103	600
778	2107	597
779	2114	596
780	2116	593
781	2119	590
782	2121	587
783	2123	584
784	2126	582
785	2132	580
786	2134	577
787	2136	574
788	2138	571
789	2142	569
790	2147	567
791	2149	564
792	2151	561
793	2153	558
794	2158	556
795	2160	553
796	2163	550
797	2165	548
798	2167	545
799	2170	542
800	2174	540
801	2177	537
802	2178	534
803	2181	531
804	2183	529
805	2188	526
806	2191	524
807	2193	521
808	2196	518
809	2200	516
810	2202	513
811	2205	510
812	2207	507
813	2209	504
814	2211	502
815	2216	499
816	2220	497
817	2222	494
818	2225	491
819	2227	488
820	2230	486
821	2233	483
822	2235	480
823	2237	477
824	2239	475
825	2241	472
826	2244	469
827	2246	466
828	2248	463
829	2251	461
830	2252	458
831	2255	455
832	2258	452
833	2260	449
834	2262	447
835	2265	444
836	2266	441
837	2269	438
838	2271	435
839	2273	433
840	2275	430
841	2278	427
842	2280	424
843	2282	421
844	2285	419
845	2287	416
846	2290	413
847	2292	410
848	2294	408
849	2296	405
850	2298	402
851	2300	399
852	2303	397
853	2306	394
854	2308	391
855	2310	388
856	2312	385
857	2314	383
858	2319	380
859	2321	377
860	2324	375
861	2325	372
862	2327	369
863	2329	366
864	2333	364
865	2335	361
866	2338	358
867	2340	355
868	2342	353
869	2344	350
870	2348	347
871	2350	345
872	2353	342
873	2355	339
874	2357	336
875	2359	334
876	2362	331
877	2364	328
878	2367	325
879	2369	323
880	2371	320
881	2373	317
882	2376	314
883	2378	312
884	2381	309
885	2383	306
886	2385	303
887	2387	301
888	2390	298
889	2392	295
890	2394	292
891	2396	290
892	2399	287
893	2400	284
894	2402	281
895	2406	279
896	2409	276
897	2410	273
898	2412	271
899	2414	268
900	2416	265
901	2418	262
902	2421	260
903	2423	257
904	2425	254
905	2427	251
906	2429	249
907	2431	246
908	2435	243
909	2437	241
910	2439	238
911	2442	235
912	2443	232
913	2445	230
914	2447	227
915	2450	224
916	2452	221
917	2454	219
918	2455	216
919	2457	213
920	2458	210
921	2460	208
922	2462	205
923	2465	202
924	2466	200
925	2468	197
926	2470	194
927	2472	191
928	2473	189
929	2475	186
930	2479	183
931	2481	181
932	2483	178
933	2485	175
934	2487	172
935	2489	170
936	2491	167
937	2494	164
938	2496	162
939	2498	159
940	2499	156
941	2501	154
942	2503	151
943	2505	148
944	2507	145
945	2509	143
946	2511	140
947	2513	137
948	2515	135
949	2517	132
950	2519	129
951	2522	127
952	2524	124
953	2526	121
954	2528	119
955	2530	116
956	2532	113
957	2534	111
958	2536	108
959	2539	105
960	2540	103
961	2542	100
962	2544	97
963	2545	95
964	2547	92
965	2548	89
966	2551	87
967	2554	84
968	2555	81
969	2557	79
970	2559	76
971	2561	73
972	2563	71
973	2565	68
974	2567	65
975	2569	63
976	2571	60
977	2573	57
978	2575	55
979	2576	52
980	2578	49
981	2581	47
982	2583	44
983	2585	42
984	2587	39
985	2588	36
986	2590	34
987	2592	31
988	2595	28
989	2597	26
990	2599	23
991	2600	20
992	2602	18
993	2604	15
994	2605	13
995	2607	10
996	2611	7
997	2614	5
998	2616	2
999	2618	0
